iter	Passed	Remaining
648	23069	12476
649	23102	12440
650	23135	12403
651	23181	12372
652	23214	12336
653	23252	12301
654	23287	12266
655	23319	12228
656	23351	12191
657	23384	12154
658	23415	12116
659	23446	12078
660	23492	12048
661	23526	12011
662	23563	11976
663	23595	11939
664	23629	11903
665	23669	11870
666	23705	11835
667	23738	11797
668	23784	11767
669	23818	11731
670	23851	11694
671	23883	11657
672	23914	11619
673	23944	11581
674	23976	11544
675	24009	11507
676	24048	11473
677	24084	11438
678	24118	11401
679	24150	11364
680	24182	11327
681	24215	11291
682	24249	11255
683	24286	11220
684	24320	11184
685	24373	11156
686	24405	11119
687	24440	11083
688	24474	11047
689	24507	11010
690	24542	10975
691	24577	10939
692	24614	10904
693	24662	10874
694	24695	10837
695	24728	10801
696	24764	10765
697	24802	10731
698	24843	10697
699	24874	10660
700	24908	10624
701	24950	10591
702	24990	10557
703	25022	10521
704	25055	10484
705	25090	10448
706	25125	10412
707	25158	10376
708	25189	10338
709	25231	10305
710	25266	10270
711	25300	10233
712	25337	10198
713	25373	10163
714	25405	10126
715	25438	10090
716	25469	10052
717	25501	10016
718	25546	9984
719	25579	9947
720	25620	9914
721	25652	9877
722	25686	9841
723	25718	9804
724	25755	9769
725	25788	9732
726	25829	9699
727	25868	9665
728	25905	9630
729	25939	9594
730	25976	9559
731	26014	9524
732	26046	9487
733	26078	9450
734	26121	9418
735	26157	9382
736	26192	9346
737	26225	9310
738	26258	9274
739	26295	9238
740	26328	9202
741	26363	9166
742	26401	9132
743	26436	9096
744	26468	9059
745	26500	9023
746	26537	8987
747	26573	8952
748	26609	8917
749	26640	8880
750	26671	8843
751	26714	8810
752	26751	8775
753	26785	8738
754	26816	8702
755	26849	8665
756	26886	8630
757	26917	8593
758	26954	8558
759	26991	8523
760	27033	8490
761	27067	8454
762	27102	8418
763	27136	8382
764	27168	8345
765	27203	8310
766	27235	8273
767	27269	8237
768	27316	8205
769	27349	8169
770	27382	8132
771	27416	8097
772	27451	8061
773	27485	8025
774	27521	7990
775	27564	7956
776	27610	7924
777	27644	7888
778	27678	7852
779	27713	7816
780	27749	7781
781	27786	7745
782	27818	7709
783	27855	7674
784	27898	7640
785	27932	7605
786	27967	7569
787	28001	7533
788	28035	7497
789	28070	7461
790	28104	7425
791	28137	7389
792	28181	7356
793	28214	7320
794	28247	7283
795	28283	7248
796	28316	7212
797	28349	7176
798	28383	7140
799	28415	7103
800	28454	7069
801	28497	7035
802	28535	7000
803	28574	6965
804	28605	6929
805	28638	6893
806	28673	6857
807	28708	6821
808	28743	6786
809	28784	6751
810	28817	6715
811	28850	6679
812	28884	6643
813	28916	6607
814	28951	6571
815	28987	6536
816	29019	6500
817	29059	6465
818	29096	6430
819	29131	6394
820	29162	6358
821	29194	6322
822	29228	6286
823	29265	6250
824	29297	6214
825	29329	6178
826	29370	6144
827	29405	6108
828	29439	6072
829	29474	6036
830	29509	6001
831	29550	5966
832	29583	5930
833	29615	5894
834	29657	5860
835	29697	5825
836	29729	5789
837	29762	5753
838	29793	5717
839	29824	5680
840	29856	5644
841	29891	5609
842	29928	5573
843	29970	5539
844	30008	5504
